model,split,topic,accuracy,f1
RuleBased,valid,Statistics,0.5,0.64
RuleBased,valid,Ecology,0.6923076923076923,0.75
RuleBased,valid,ComputerScience,0.7777777777777778,0.8
RuleBased,valid,Physics,0.36363636363636365,0.46153846153846156
RuleBased,test,ComputerScience,0.714993246285457,0.6708268330733229
RuleBased,test,Ecology,0.6889601465872652,0.7162557459256164
RuleBased,test,Physics,0.6398289989312433,0.5973715651135006
RuleBased,test,Statistics,0.5421245421245421,0.58249832999332
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,valid,Statistics,0.5555555555555556,0.6923076923076923
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,valid,Ecology,0.5384615384615384,0.7
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,valid,ComputerScience,0.8888888888888888,0.8888888888888888
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,valid,Physics,0.7272727272727273,0.0
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,test,ComputerScience,0.6339486717694732,0.5845682166581502
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,test,Ecology,0.4764086120018323,0.6349409134461833
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,test,Physics,0.71571072319202,0.019656019656019656
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,test,Statistics,0.5326007326007326,0.6007509386733417
BERT-LR:sentence-transformers/all-mpnet-base-v2,valid,Statistics,0.5,0.64
BERT-LR:sentence-transformers/all-mpnet-base-v2,valid,Ecology,0.5384615384615384,0.7
BERT-LR:sentence-transformers/all-mpnet-base-v2,valid,ComputerScience,0.6666666666666666,0.6666666666666666
BERT-LR:sentence-transformers/all-mpnet-base-v2,valid,Physics,0.7272727272727273,0.0
BERT-LR:sentence-transformers/all-mpnet-base-v2,test,ComputerScience,0.6411526339486717,0.5712748789671867
BERT-LR:sentence-transformers/all-mpnet-base-v2,test,Ecology,0.4709115895556574,0.6308724832214765
BERT-LR:sentence-transformers/all-mpnet-base-v2,test,Physics,0.7149982187388672,0.0196078431372549
BERT-LR:sentence-transformers/all-mpnet-base-v2,test,Statistics,0.5586080586080586,0.6158750398469875
BERT-Ensemble,valid,Statistics,0.5,0.64
BERT-Ensemble,valid,Ecology,0.5384615384615384,0.7
BERT-Ensemble,valid,ComputerScience,0.7777777777777778,0.75
BERT-Ensemble,valid,Physics,0.7272727272727273,0.0
BERT-Ensemble,test,ComputerScience,0.6389013957676722,0.5831600831600832
BERT-Ensemble,test,Ecology,0.472743930371049,0.6328548644338118
BERT-Ensemble,test,Physics,0.7149982187388672,0.0171990171990172
BERT-Ensemble,test,Statistics,0.5465201465201465,0.6111809045226131
LLM-Plain,valid,Statistics,0.5555555555555556,0.6666666666666666
LLM-Plain,valid,Ecology,0.8461538461538461,0.8571428571428571
LLM-Plain,valid,ComputerScience,0.8888888888888888,0.8888888888888888
LLM-Plain,valid,Physics,0.9090909090909091,0.8571428571428571
LLM-Plain,test,ComputerScience,0.8194506978838361,0.7574107683000605
LLM-Plain,test,Ecology,0.7544663307375172,0.7761069340016709
LLM-Plain,test,Physics,0.7506234413965087,0.680073126142596
LLM-Plain,test,Statistics,0.5864468864468865,0.5731568998109641
LLM-RAG,valid,Statistics,1.0,1.0
LLM-RAG,valid,Ecology,1.0,1.0
LLM-RAG,valid,ComputerScience,1.0,1.0
LLM-RAG,valid,Physics,1.0,1.0
LLM-RAG,test,ComputerScience,0.7996398018910401,0.707044107965767
LLM-RAG,test,Ecology,0.7306459001374256,0.7461139896373057
LLM-RAG,test,Physics,0.7801923762023513,0.6021921341070278
LLM-RAG,test,Statistics,0.6981684981684981,0.6625716625716626
