model,split,accuracy,f1
RuleBased,valid,0.5686274509803921,0.65625
RuleBased,test,0.6405794185695604,0.6361877609204766
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,valid,0.6470588235294118,0.6896551724137931
BERT-LR:sentence-transformers/all-MiniLM-L6-v2,test,0.5946081883110351,0.5570455045064849
BERT-LR:sentence-transformers/all-mpnet-base-v2,valid,0.5882352941176471,0.631578947368421
BERT-LR:sentence-transformers/all-mpnet-base-v2,test,0.6019515139322,0.5574320545800246
BERT-Ensemble,valid,0.6078431372549019,0.6428571428571429
BERT-Ensemble,test,0.598531334875767,0.5593463619299989
LLM-Plain,valid,0.7647058823529411,0.7777777777777778
LLM-Plain,test,0.7217583744090131,0.6885135135135135
LLM-RAG,valid,1.0,1.0
LLM-RAG,test,0.7511316768936727,0.6839550332141032
